"Sensitivity_num","Sensitivity_text","Item","proportion","Description","mean","sd","se"
3,"somewhat sensitive","SI_34_genetic",0.301379310344828,"Genetic information",3.14,0.96,0.03
4,"very sensitive","SI_34_genetic",0.461379310344828,"Genetic information",3.14,0.96,0.03
1,"not at all sensitive","SI_12_search",0.0524137931034483,"Online Search History",3.07,0.86,0.02
2,"not too sensitive","SI_12_search",0.182758620689655,"Online Search History",3.07,0.86,0.02
3,"somewhat sensitive","SI_12_search",0.406206896551724,"Online Search History",3.07,0.86,0.02
4,"very sensitive","SI_12_search",0.358620689655172,"Online Search History",3.07,0.86,0.02
1,"not at all sensitive","SI_22_concentration",0.0648275862068965,"Concentration",3.05,0.91,0.02
2,"not too sensitive","SI_22_concentration",0.197931034482759,"Concentration",3.05,0.91,0.02
3,"somewhat sensitive","SI_22_concentration",0.359310344827586,"Concentration",3.05,0.91,0.02
4,"very sensitive","SI_22_concentration",0.377931034482759,"Concentration",3.05,0.91,0.02
1,"not at all sensitive","SI_20_alertness",0.0606896551724138,"Alertness",3.04,0.9,0.02
2,"not too sensitive","SI_20_alertness",0.202068965517241,"Alertness",3.04,0.9,0.02
3,"somewhat sensitive","SI_20_alertness",0.373793103448276,"Alertness",3.04,0.9,0.02
4,"very sensitive","SI_20_alertness",0.363448275862069,"Alertness",3.04,0.9,0.02
1,"not at all sensitive","SI_11_website",0.0627586206896552,"Websites Visited",2.96,0.86,0.02
2,"not too sensitive","SI_11_website",0.204827586206897,"Websites Visited",2.96,0.86,0.02
3,"somewhat sensitive","SI_11_website",0.442758620689655,"Websites Visited",2.96,0.86,0.02
4,"very sensitive","SI_11_website",0.289655172413793,"Websites Visited",2.96,0.86,0.02
1,"not at all sensitive","SI_19_drowsiness",0.0868965517241379,"Drowsiness",2.95,0.95,0.02
1,"not at all sensitive","SI_21_focus",0.0703448275862069,"Focus",2.95,0.92,0.02
2,"not too sensitive","SI_19_drowsiness",0.215862068965517,"Drowsiness",2.95,0.95,0.02
2,"not too sensitive","SI_21_focus",0.236551724137931,"Focus",2.95,0.92,0.02
3,"somewhat sensitive","SI_19_drowsiness",0.355172413793103,"Drowsiness",2.95,0.95,0.02
3,"somewhat sensitive","SI_21_focus",0.36551724137931,"Focus",2.95,0.92,0.02
4,"very sensitive","SI_19_drowsiness",0.342068965517241,"Drowsiness",2.95,0.95,0.02
4,"very sensitive","SI_21_focus",0.327586206896552,"Focus",2.95,0.92,0.02
1,"not at all sensitive","SI_14_friends",0.0806896551724138,"Friends",2.91,0.92,0.02
1,"not at all sensitive","SI_26_substance",0.155862068965517,"Substance Use",2.91,1.08,0.03
2,"not too sensitive","SI_14_friends",0.231724137931034,"Friends",2.91,0.92,0.02
2,"not too sensitive","SI_26_substance",0.164827586206897,"Substance Use",2.91,1.08,0.03
3,"somewhat sensitive","SI_14_friends",0.388965517241379,"Friends",2.91,0.92,0.02
3,"somewhat sensitive","SI_26_substance",0.291724137931034,"Substance Use",2.91,1.08,0.03
4,"very sensitive","SI_14_friends",0.298620689655172,"Friends",2.91,0.92,0.02
4,"very sensitive","SI_26_substance",0.387586206896552,"Substance Use",2.91,1.08,0.03
1,"not at all sensitive","SI_35_social.media",0.0972413793103448,"Social Media Contents",2.89,0.96,0.03
2,"not too sensitive","SI_35_social.media",0.229655172413793,"Social Media Contents",2.89,0.96,0.03
3,"somewhat sensitive","SI_35_social.media",0.358620689655172,"Social Media Contents",2.89,0.96,0.03
4,"very sensitive","SI_35_social.media",0.31448275862069,"Social Media Contents",2.89,0.96,0.03
1,"not at all sensitive","SI_9_birthdate",0.118620689655172,"Birth Date",2.84,1,0.03
2,"not too sensitive","SI_9_birthdate",0.230344827586207,"Birth Date",2.84,1,0.03
3,"somewhat sensitive","SI_9_birthdate",0.340689655172414,"Birth Date",2.84,1,0.03
4,"very sensitive","SI_9_birthdate",0.310344827586207,"Birth Date",2.84,1,0.03
1,"not at all sensitive","SI_31_intelligence",0.107586206896552,"Intelligence Quotient",2.78,0.95,0.02
2,"not too sensitive","SI_31_intelligence",0.264137931034483,"Intelligence Quotient",2.78,0.95,0.02
3,"somewhat sensitive","SI_31_intelligence",0.370344827586207,"Intelligence Quotient",2.78,0.95,0.02
4,"very sensitive","SI_31_intelligence",0.257931034482759,"Intelligence Quotient",2.78,0.95,0.02
1,"not at all sensitive","SI_32_sleep",0.128965517241379,"Sleep Patterns",2.7,0.98,0.03
2,"not too sensitive","SI_32_sleep",0.28551724137931,"Sleep Patterns",2.7,0.98,0.03
3,"somewhat sensitive","SI_32_sleep",0.342758620689655,"Sleep Patterns",2.7,0.98,0.03
4,"very sensitive","SI_32_sleep",0.242758620689655,"Sleep Patterns",2.7,0.98,0.03
1,"not at all sensitive","SI_17_purchases",0.122068965517241,"Purchasing Habits",2.58,0.89,0.02
2,"not too sensitive","SI_17_purchases",0.324827586206897,"Purchasing Habits",2.58,0.89,0.02
3,"somewhat sensitive","SI_17_purchases",0.399310344827586,"Purchasing Habits",2.58,0.89,0.02
4,"very sensitive","SI_17_purchases",0.153793103448276,"Purchasing Habits",2.58,0.89,0.02
1,"not at all sensitive","SI_33_sexual.orientation",0.255172413793103,"Sexual Orientation",2.52,1.15,0.03
2,"not too sensitive","SI_33_sexual.orientation",0.248275862068966,"Sexual Orientation",2.52,1.15,0.03
3,"somewhat sensitive","SI_33_sexual.orientation",0.21448275862069,"Sexual Orientation",2.52,1.15,0.03
4,"very sensitive","SI_33_sexual.orientation",0.282068965517241,"Sexual Orientation",2.52,1.15,0.03
1,"not at all sensitive","SI_15_politics",0.173103448275862,"Political Views",2.5,0.97,0.03
2,"not too sensitive","SI_15_politics",0.32551724137931,"Political Views",2.5,0.97,0.03
3,"somewhat sensitive","SI_15_politics",0.328965517241379,"Political Views",2.5,0.97,0.03
4,"very sensitive","SI_15_politics",0.172413793103448,"Political Views",2.5,0.97,0.03
1,"not at all sensitive","SI_13_religion",0.206896551724138,"Religious Views",2.49,1.03,0.03
2,"not too sensitive","SI_13_religion",0.296551724137931,"Religious Views",2.49,1.03,0.03
3,"somewhat sensitive","SI_13_religion",0.296551724137931,"Religious Views",2.49,1.03,0.03
4,"very sensitive","SI_13_religion",0.2,"Religious Views",2.49,1.03,0.03
1,"not at all sensitive","SI_16_media",0.188275862068966,"Media Preferences",2.34,0.9,0.02
2,"not too sensitive","SI_16_media",0.393793103448276,"Media Preferences",2.34,0.9,0.02
3,"somewhat sensitive","SI_16_media",0.309655172413793,"Media Preferences",2.34,0.9,0.02
4,"very sensitive","SI_16_media",0.108275862068966,"Media Preferences",2.34,0.9,0.02
