"ID","Gender","Race","Age","Age_rescale","AgeLvl","Edu","CollegeDegree","Income","IncomeLvl","Marital","PO","EarAdopt","EarAdoptLvl","WearTech","SI_1_SSN","SI_2_health","SI_4_phone","SI_5_email","SI_6_location","SI_7_texts","SI_8_numbers","SI_9_birthdate","SI_10_relationship","SI_11_website","SI_12_search","SI_13_religion","SI_14_friends","SI_15_politics","SI_16_media","SI_17_purchases","SI_18_credit","SI_19_drowsiness","SI_20_alertness","SI_21_focus","SI_22_concentration","SI_24_brainwave","SI_25_brain.health","SI_26_substance","SI_27_emotion","SI_28_anxiety","SI_29_mental.image","SI_30_mental.thoughts","SI_31_intelligence","SI_32_sleep","SI_33_sexual.orientation","SI_34_genetic","SI_35_social.media"
"1391991369","Female","Hispanic or Latino","18-24",21,1,"High school graduate or equivalent","no college degree","Less than $15,000 ",1,"Never married","Independent","I am generally among the last to try a new technology product",4,"No",4,2,2,2,3,4,1,3,3,2,1,3,3,2,2,3,3,3,2,3,2,2,2,2,3,3,2,2,3,2,2,1,2
"1355758967","Male","Hispanic or Latino","25-34",29.5,2,"College graduate","college degree","$100,000 - $149,999 ",7,"Married","Republican","I am generally the first to try a new technology product ",1,"Yes",4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,3,4,4,4,4,2,3,4,2,4,4,4
"1417714411","Female","White","25-34",29.5,2,"College graduate","college degree","$25,000 - $34,999 ",3,"Never married","Other","I am generally among the last to try a new technology product",4,"No",4,4,4,4,4,4,4,4,4,3,3,3,4,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4
"1414268756","Male","White","18-24",21,1,"Some college ","no college degree","$25,000 - $34,999 ",3,"Divorced","Republican","I am generally in the middle when it comes to trying a new technology product ",3,"No",4,4,4,4,1,4,4,4,1,1,1,1,4,1,1,1,4,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,4
"1419413402","Male","White","65+",70,6,"Some college ","no college degree","$25,000 - $34,999 ",3,"Married","Republican","I am generally among the last to try a new technology product",4,"No",4,4,4,3,4,3,3,3,3,3,3,4,3,3,2,2,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,3,3
"1273369879","Female","White","65+",70,6,"Some college ","no college degree","$50,000 - $74,999 ",5,"Divorced","Democrat","I am generally in the middle when it comes to trying a new technology product ",3,"No",4,4,4,3,4,3,3,4,4,3,4,1,4,3,3,3,4,3,3,3,3,4,4,4,4,3,4,4,3,4,2,4,3
"1403759807","Male","Asian ","45-54",49.5,4,"College graduate","college degree","$50,000 - $74,999 ",5,"Never married","Democrat","I am generally in the middle when it comes to trying a new technology product ",3,"No",4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4
"1347562951","Male","White","55-64",59.5,5,"High school graduate or equivalent","no college degree","Less than $15,000 ",1,"Never married","Republican","I am generally among the last to try a new technology product",4,"No",4,4,4,4,4,1,3,4,4,3,4,2,2,3,2,3,3,4,4,4,4,4,4,1,4,4,4,4,2,4,1,1,1
"1419336780","Female","Other ","25-34",29.5,2,"College graduate","college degree","$15,000 - $24,999 ",2,"Never married","Other","I am generally among the last to try a new technology product",4,"No",3,4,4,3,4,3,3,4,4,3,2,3,4,2,2,3,3,2,3,4,3,3,4,3,3,3,4,4,2,3,3,3,2
"1304551212","Female","White","55-64",59.5,5,"Graduate/Professional school or beyond ","college degree","$50,000 - $74,999 ",5,"Married","Democrat","I am generally among the last to try a new technology product",4,"No",4,4,4,4,4,4,4,3,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4
"1372385577","Female","White","45-54",49.5,4,"Graduate/Professional school or beyond ","college degree","$75,000 - $99,999 ",6,"Married","Democrat","I am generally in the middle when it comes to trying a new technology product ",3,"No",4,4,2,2,4,2,2,2,3,2,2,2,3,3,2,3,4,3,4,3,3,4,4,2,4,4,4,4,3,2,2,4,2
"1370063913","Male","White","55-64",59.5,5,"High school graduate or equivalent","no college degree","$75,000 - $99,999 ",6,"Married","Republican","I am generally in the middle when it comes to trying a new technology product ",3,"No",4,4,4,4,4,4,4,4,1,4,4,4,4,4,1,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1
"1401568606","Male","White","65+",70,6,"College graduate","college degree","More than $200,000",9,"Married","Democrat","I am generally in the middle when it comes to trying a new technology product ",3,"No",4,4,4,3,4,2,3,4,4,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4
"1301825365","Female","White","35-44",39.5,3,"College graduate","college degree","$50,000 - $74,999 ",5,"Divorced","Independent","I am generally among the first to try a new technology product ",2,"Yes",4,4,3,3,4,3,2,2,2,2,2,2,2,3,1,2,4,2,2,2,2,2,2,4,2,2,2,4,2,2,1,3,3
"1412553821","Female","White","25-34",29.5,2,"Some college ","no college degree","$50,000 - $74,999 ",5,"Married","Other","I am generally in the middle when it comes to trying a new technology product ",3,"No",4,4,4,4,4,4,4,2,4,4,4,2,4,2,2,3,3,4,4,4,4,3,4,3,4,3,4,4,3,4,2,2,2
"1415308994","Female","White","25-34",29.5,2,"Some college ","no college degree","$35,000 - $49,999 ",4,"Married","Independent","I am generally in the middle when it comes to trying a new technology product ",3,"Yes",4,4,4,4,4,4,4,3,4,4,4,3,4,3,2,3,4,3,2,4,3,4,4,1,3,4,4,4,1,2,1,4,3
"1419543559","Female","White","25-34",29.5,2,"High school graduate or equivalent","no college degree","$25,000 - $34,999 ",3,"Never married","Republican","I am generally in the middle when it comes to trying a new technology product ",3,"No",4,3,4,4,3,4,4,4,3,4,4,3,2,3,4,4,4,3,2,3,3,3,4,3,3,3,4,4,3,3,4,3,4
"1294638781","Female","White","65+",70,6,"College graduate","college degree","Less than $15,000 ",1,"Divorced","Independent","I am generally in the middle when it comes to trying a new technology product ",3,"No",4,4,4,4,4,4,1,4,4,2,3,2,3,1,2,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,1,4,2
"1349320453","Male","White","65+",70,6,"Graduate/Professional school or beyond ","college degree","$35,000 - $49,999 ",4,"Widowed","Republican","I am generally in the middle when it comes to trying a new technology product ",3,"No",4,4,4,3,4,3,4,4,3,4,4,4,3,4,4,2,4,4,4,4,4,3,4,4,4,4,4,4,4,2,4,4,4
"1311179592","Female","Hispanic or Latino","55-64",59.5,5,"Some college ","no college degree","$50,000 - $74,999 ",5,"Married","Democrat","I am generally in the middle when it comes to trying a new technology product ",3,"Yes",4,4,4,4,4,4,4,4,4,3,3,4,4,4,2,3,4,4,4,3,3,3,4,2,3,4,4,4,4,3,4,3,4
"1348558629","Female","White","25-34",29.5,2,"Some college ","no college degree","$25,000 - $34,999 ",3,"Married","Other","I am generally in the middle when it comes to trying a new technology product ",3,"No",4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"1227039299","Female","White","25-34",29.5,2,"College graduate","college degree","Less than $15,000 ",1,"Separated","Independent","I am generally the first to try a new technology product ",1,"No",4,1,3,2,1,4,1,1,3,2,3,1,1,1,1,1,4,1,1,1,1,1,1,3,1,1,3,1,1,1,1,1,2
"1331009377","Female","American Indian or Alaska Native ","55-64",59.5,5,"Some college ","no college degree","Less than $15,000 ",1,"Never married","Republican","I am generally among the last to try a new technology product",4,"No",4,3,4,4,4,4,4,4,3,4,4,3,4,3,3,3,3,3,4,3,4,3,3,4,4,3,3,2,3,3,2,3,4
"1418736359","Female","White","35-44",39.5,3,"College graduate","college degree","$25,000 - $34,999 ",3,"Never married","Other","I am generally among the first to try a new technology product ",2,"Yes",4,3,4,3,4,3,4,3,3,3,2,2,3,3,3,2,3,2,2,2,2,2,3,3,2,3,4,3,2,1,2,2,2
"1184337729","Male","Asian ","65+",70,6,"Some college ","no college degree","$25,000 - $34,999 ",3,"Married","Republican","I am generally among the last to try a new technology product",4,"No",4,4,4,4,3,4,3,2,3,3,4,3,3,3,2,2,3,3,3,3,3,3,3,2,3,3,3,3,4,3,2,3,3
"1420198383","Female","White","18-24",21,1,"Some college ","no college degree","$15,000 - $24,999 ",2,"Never married","Democrat","I am generally in the middle when it comes to trying a new technology product ",3,"No",4,3,4,4,4,4,4,4,3,4,4,2,4,2,3,2,4,3,3,3,3,4,3,2,4,4,3,4,3,2,1,4,3
"1323743580","Male","White","25-34",29.5,2,"College graduate","college degree","$25,000 - $34,999 ",3,"Never married","Republican","I am generally among the first to try a new technology product ",2,"Yes",4,4,4,4,3,4,4,1,3,4,4,1,1,2,1,3,1,3,3,3,3,2,4,3,3,3,4,4,1,1,1,4,4
"1327608130","Female","Other ","25-34",29.5,2,"Graduate/Professional school or beyond ","college degree","$25,000 - $34,999 ",3,"Never married","Independent","I am generally among the last to try a new technology product",4,"Yes",4,2,2,4,3,3,2,3,4,2,3,1,1,3,1,3,1,2,2,4,2,1,2,3,3,3,4,2,3,3,1,1,2
"1370837137","Female","Black ","35-44",39.5,3,"College graduate","college degree","$35,000 - $49,999 ",4,"Married","Democrat","I am generally among the first to try a new technology product ",2,"Yes",4,4,3,4,3,3,3,4,4,4,4,3,4,3,3,3,4,3,3,3,3,4,3,4,3,3,4,3,3,4,4,3,4
"1275321704","Male","Black ","25-34",29.5,2,"Some college ","no college degree","$100,000 - $149,999 ",7,"Never married","Democrat","I am generally in the middle when it comes to trying a new technology product ",3,"No",4,4,4,4,3,4,4,3,3,4,4,3,3,3,1,2,4,3,2,1,1,2,3,4,2,3,4,4,3,2,4,2,4
"1419192020","Female","White","25-34",29.5,2,"College graduate","college degree","Less than $15,000 ",1,"Married","Republican","I am generally in the middle when it comes to trying a new technology product ",3,"No",4,3,3,3,3,4,2,1,2,3,3,1,3,2,2,2,4,3,3,3,3,2,3,2,4,4,4,4,2,3,1,3,2
"1289025540","Male","White","55-64",59.5,5,"Some college ","no college degree","$50,000 - $74,999 ",5,"Married","Republican","I am generally among the first to try a new technology product ",2,"No",4,4,4,4,4,4,4,4,4,3,4,3,3,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,2
"1389349541","Female","White","35-44",39.5,3,"Some college ","no college degree","$75,000 - $99,999 ",6,"Married","Republican","I am generally the first to try a new technology product ",1,"Yes",4,3,3,4,3,3,3,4,4,3,4,3,2,2,3,3,3,3,3,4,4,4,3,3,4,4,3,4,3,3,2,3,3
"1295139954","Female","White","45-54",49.5,4,"Some college ","no college degree","$35,000 - $49,999 ",4,"Married","Republican","I am generally among the first to try a new technology product ",2,"No",4,4,3,4,4,4,4,4,4,3,3,3,2,2,1,2,3,2,3,2,3,4,3,4,3,2,1,4,3,2,4,3,1
"1411700001","Male","American Indian or Alaska Native ","18-24",21,1,"Some college ","no college degree","$75,000 - $99,999 ",6,"Never married","Democrat","I am generally among the first to try a new technology product ",2,"No",4,3,3,3,3,4,3,2,2,2,3,2,3,3,2,4,4,3,2,3,2,3,4,3,3,3,4,4,2,2,3,2,1
"1084410454","Female","White","55-64",59.5,5,"Graduate/Professional school or beyond ","college degree","$25,000 - $34,999 ",3,"Divorced","Independent","I am generally the last to try a new technology product",5,"No",4,3,4,4,4,4,3,2,4,3,2,3,3,3,2,2,3,4,4,4,4,4,4,4,4,4,4,4,3,3,2,4,2
"1326262125","Male","White","35-44",39.5,3,"High school graduate or equivalent","no college degree","Less than $15,000 ",1,"Never married","Other","I am generally among the first to try a new technology product ",2,"No",3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3
"1420124845","Female","American Indian or Alaska Native ","18-24",21,1,"High school graduate or equivalent","no college degree","Less than $15,000 ",1,"Never married","Democrat","I am generally in the middle when it comes to trying a new technology product ",3,"No",4,4,4,4,3,4,1,3,1,4,4,2,1,2,1,1,4,3,2,4,3,3,1,2,4,4,4,4,3,4,1,4,3
"1393691584","Female","White","25-34",29.5,2,"Some college ","no college degree","$25,000 - $34,999 ",3,"Married","Democrat","I am generally among the first to try a new technology product ",2,"No",4,4,4,4,3,4,4,3,4,3,3,3,3,3,2,3,4,4,4,4,4,4,3,2,4,4,4,4,3,3,3,4,3
"1275565736","Male","Other ","55-64",59.5,5,"Some college ","no college degree","Less than $15,000 ",1,"Married","Democrat","I am generally among the last to try a new technology product",4,"No",4,3,3,3,2,3,3,2,3,3,3,1,2,2,2,2,4,3,4,3,4,4,3,2,3,3,4,4,3,3,2,3,3
"1416876971","Male","White","35-44",39.5,3,"Some college ","no college degree","$15,000 - $24,999 ",2,"Never married","Independent","I am generally among the last to try a new technology product",4,"No",4,4,4,4,4,3,4,2,4,3,3,3,4,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,4,2
"1132065176","Female","White","65+",70,6,"Graduate/Professional school or beyond ","college degree","$75,000 - $99,999 ",6,"Divorced","Democrat","I am generally among the first to try a new technology product ",2,"No",4,4,4,4,4,4,4,3,3,4,4,2,3,2,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,1,4,4
"1338935368","Male","White","45-54",49.5,4,"Some college ","no college degree","Less than $15,000 ",1,"Never married","Democrat","I am generally in the middle when it comes to trying a new technology product ",3,"No",4,4,4,4,4,4,4,3,4,3,3,4,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3
"1313210672","Female","White","45-54",49.5,4,"Some college ","no college degree","$100,000 - $149,999 ",7,"Divorced","Democrat","I am generally the first to try a new technology product ",1,"Yes",4,3,4,4,4,4,4,2,4,1,1,1,1,3,1,2,2,4,4,2,4,1,4,1,3,2,4,4,2,1,2,1,1
"1281019154","Female","White","35-44",39.5,3,"Some college ","no college degree","$75,000 - $99,999 ",6,"Married","Democrat","I am generally in the middle when it comes to trying a new technology product ",3,"Yes",4,4,4,4,4,4,4,4,4,4,4,1,4,1,4,2,4,4,4,4,3,4,3,4,4,4,4,4,4,4,1,3,3
"1408747398","Male","White","55-64",59.5,5,"Graduate/Professional school or beyond ","college degree","$100,000 - $149,999 ",7,"Married","Independent","I am generally in the middle when it comes to trying a new technology product ",3,"Yes",4,2,2,3,3,2,2,2,2,3,3,1,2,1,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,2
"1403480517","Female","Black ","35-44",39.5,3,"College graduate","college degree","Less than $15,000 ",1,"Never married","Other","I am generally the last to try a new technology product",5,"No",4,4,4,3,4,3,4,3,4,3,2,3,3,1,2,3,4,1,3,1,1,4,4,3,1,1,4,4,2,1,2,1,1
"1227232244","Female","White","45-54",49.5,4,"Some college ","no college degree","$15,000 - $24,999 ",2,"Divorced","Republican","I am generally in the middle when it comes to trying a new technology product ",3,"Yes",4,4,4,3,4,4,4,3,4,3,2,2,4,4,2,3,4,3,2,2,3,4,4,4,2,4,4,4,4,3,3,3,4
"1309689043","Female","American Indian or Alaska Native ","25-34",29.5,2,"College graduate","college degree","$100,000 - $149,999 ",7,"Married","Democrat","I am generally among the first to try a new technology product ",2,"No",4,4,4,3,4,3,3,3,3,4,3,2,2,1,3,3,4,4,3,2,4,4,3,3,3,3,3,3,2,4,1,4,3
"1237942095","Female","Hispanic or Latino","25-34",29.5,2,"College graduate","college degree","$100,000 - $149,999 ",7,"Married","Independent","I am generally among the first to try a new technology product ",2,"No",4,4,4,4,4,4,4,3,4,3,3,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,2,4,3
"1419749191","Female","White","35-44",39.5,3,"Some college ","no college degree","$15,000 - $24,999 ",2,"Divorced","Other","I am generally in the middle when it comes to trying a new technology product ",3,"Yes",4,2,2,2,4,2,3,2,1,3,2,2,4,2,3,3,3,2,3,3,2,2,3,3,2,2,3,3,3,3,2,4,3
"1314344190","Female","White","45-54",49.5,4,"High school graduate or equivalent","no college degree","$50,000 - $74,999 ",5,"Married","Republican","I am generally in the middle when it comes to trying a new technology product ",3,"Yes",4,4,4,4,4,3,3,3,4,3,3,2,2,3,2,2,4,2,2,2,2,2,2,2,4,2,2,2,3,1,2,4,3
"1236697915","Female","White","55-64",59.5,5,"Graduate/Professional school or beyond ","college degree","$75,000 - $99,999 ",6,"Never married","Independent","I am generally in the middle when it comes to trying a new technology product ",3,"No",4,4,4,4,4,3,3,3,4,3,3,3,3,3,3,3,4,4,3,3,3,4,4,4,4,4,4,4,4,3,4,4,3
"1274862731","Male","Asian ","45-54",49.5,4,"College graduate","college degree","$35,000 - $49,999 ",4,"Never married","Independent","I am generally in the middle when it comes to trying a new technology product ",3,"Yes",4,4,4,4,4,4,4,4,4,3,3,4,4,4,3,4,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4
"1210421594","Male","White","55-64",59.5,5,"Graduate/Professional school or beyond ","college degree","$150,000 - $199,999",8,"Married","Independent","I am generally in the middle when it comes to trying a new technology product ",3,"No",4,3,1,3,2,2,3,4,3,1,2,2,3,2,2,2,2,3,4,4,4,4,4,1,4,4,4,4,3,3,1,4,1
"1381129986","Female","White","55-64",59.5,5,"College graduate","college degree","$25,000 - $34,999 ",3,"Widowed","Independent","I am generally in the middle when it comes to trying a new technology product ",3,"No",4,4,4,4,4,4,4,2,4,2,2,2,4,2,1,2,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,3
"1348241398","Female","White","45-54",49.5,4,"High school graduate or equivalent","no college degree","$35,000 - $49,999 ",4,"Married","Republican","I am generally the last to try a new technology product",5,"No",4,4,4,4,4,4,3,4,4,3,3,4,4,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4
"1131959364","Male","White","65+",70,6,"College graduate","college degree","$50,000 - $74,999 ",5,"Never married","Democrat","I am generally in the middle when it comes to trying a new technology product ",3,"No",4,3,3,2,2,2,3,2,3,2,2,2,2,2,2,2,4,3,2,3,3,3,2,3,3,3,2,2,2,2,3,3,3
"1397637345","Female","Black ","35-44",39.5,3,"Some college ","no college degree","$25,000 - $34,999 ",3,"Never married","Democrat","I am generally in the middle when it comes to trying a new technology product ",3,"Yes",4,4,4,4,3,4,4,4,4,3,3,2,2,2,2,2,4,1,1,1,1,2,2,4,1,1,1,1,1,2,2,4,4
"1132230611","Male","White","65+",70,6,"College graduate","college degree","$50,000 - $74,999 ",5,"Married","Democrat","I am generally in the middle when it comes to trying a new technology product ",3,"No",4,4,4,4,3,4,4,3,4,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3
"1245172175","Female","Black ","65+",70,6,"High school graduate or equivalent","no college degree","Less than $15,000 ",1,"Widowed","Democrat","I am generally among the last to try a new technology product",4,"No",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1403758326","Male","White","55-64",59.5,5,"Some college ","no college degree","$25,000 - $34,999 ",3,"Divorced","Democrat","I am generally in the middle when it comes to trying a new technology product ",3,"No",4,4,4,4,4,4,4,3,4,3,4,3,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,3,4
"1296959215","Female","Hispanic or Latino","25-34",29.5,2,"High school graduate or equivalent","no college degree","$15,000 - $24,999 ",2,"Never married","Independent","I am generally among the last to try a new technology product",4,"No",4,4,4,2,4,3,4,3,4,1,1,1,2,1,1,3,4,3,3,1,4,3,4,4,3,3,3,3,2,1,3,1,2
"1281012759","Male","White","65+",70,6,"College graduate","college degree","$75,000 - $99,999 ",6,"Married","Independent","I am generally in the middle when it comes to trying a new technology product ",3,"No",4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,3,3,3,4,4,2,3,3,4,4,4,2,4,4,4
"1350765079","Female","White","45-54",49.5,4,"College graduate","college degree","$15,000 - $24,999 ",2,"Divorced","Democrat","I am generally in the middle when it comes to trying a new technology product ",3,"No",4,4,4,4,4,4,4,4,4,3,4,1,4,2,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3
"1315919520","Female","White","25-34",29.5,2,"Some college ","no college degree","$50,000 - $74,999 ",5,"Never married","Democrat","I am generally among the first to try a new technology product ",2,"No",4,4,2,3,4,3,1,2,4,2,2,2,4,2,1,2,3,4,4,4,4,4,4,4,4,2,4,4,3,3,2,4,2
"1374938953","Female","White","35-44",39.5,3,"College graduate","college degree","$35,000 - $49,999 ",4,"Never married","Democrat","I am generally in the middle when it comes to trying a new technology product ",3,"No",4,4,4,4,4,4,4,3,4,3,4,3,4,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3
"1226445762","Female","White","65+",70,6,"Some college ","no college degree","$35,000 - $49,999 ",4,"Married","Democrat","I am generally among the last to try a new technology product",4,"No",4,3,3,3,2,1,2,2,3,1,2,1,2,1,1,2,1,1,3,2,3,3,3,3,3,3,3,3,3,1,1,3,1
"1318626360","Female","White","55-64",59.5,5,"High school graduate or equivalent","no college degree","$50,000 - $74,999 ",5,"Married","Republican","I am generally among the last to try a new technology product",4,"No",3,4,4,4,4,4,4,3,4,2,3,2,4,3,2,2,4,4,4,4,4,4,4,4,3,4,4,4,3,2,4,4,4
"1400019596","Female","Asian ","35-44",39.5,3,"College graduate","college degree","$50,000 - $74,999 ",5,"Married","Independent","I am generally in the middle when it comes to trying a new technology product ",3,"Yes",4,4,4,3,4,4,4,3,4,2,3,4,4,2,3,3,4,4,4,4,4,3,4,3,2,4,4,4,4,3,4,4,4
"1309363626","Male","White","45-54",49.5,4,"College graduate","college degree","$50,000 - $74,999 ",5,"Married","Independent","I am generally among the first to try a new technology product ",2,"Yes",4,4,4,4,4,4,4,4,4,3,3,4,3,4,3,3,4,3,3,3,3,3,3,4,3,4,4,4,3,3,4,4,4
"1418120677","Male","White","35-44",39.5,3,"Some college ","no college degree","$50,000 - $74,999 ",5,"Married","Republican","I am generally among the last to try a new technology product",4,"No",4,3,4,4,2,4,4,2,3,4,4,1,2,3,1,2,4,1,3,3,3,2,3,4,4,4,3,4,2,1,1,4,2
"1416449542","Female","Hispanic or Latino","25-34",29.5,2,"Some college ","no college degree","$50,000 - $74,999 ",5,"Never married","Other","I am generally in the middle when it comes to trying a new technology product ",3,"Yes",4,4,2,3,2,2,2,2,2,1,2,2,2,2,1,2,4,4,3,3,3,3,4,4,3,4,3,3,2,2,1,4,2
"1212995828","Female","White","55-64",59.5,5,"High school graduate or equivalent","no college degree","$35,000 - $49,999 ",4,"Married","Republican","I am generally in the middle when it comes to trying a new technology product ",3,"No",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"1366998389","Male","White","25-34",29.5,2,"Some college ","no college degree","$25,000 - $34,999 ",3,"Married","Democrat","I am generally among the first to try a new technology product ",2,"Yes",4,3,4,4,4,4,3,2,3,3,4,2,2,2,2,3,4,3,3,3,3,4,3,1,3,3,4,4,3,3,3,4,3
"1415486549","Female","White","35-44",39.5,3,"College graduate","college degree","$35,000 - $49,999 ",4,"Married","Independent","I am generally the last to try a new technology product",5,"No",4,4,3,4,3,4,4,3,3,4,3,3,3,2,3,3,4,3,3,3,3,4,4,3,4,4,4,4,4,3,2,4,3
